colony,c o l o n y,"Input: colony Answer: c o l o n y
"
fashion,f a s h i o n,"Input: fashion Answer: f a s h i o n
"
convection,c o n v e c t i o n,"Input: convection Answer: c o n v e c t i o n
"
everyone,e v e r y o n e,"Input: everyone Answer: e v e r y o n e
"
legislation,l e g i s l a t i o n,"Input: legislation Answer: l e g i s l a t i o n
"
favor,f a v o r,"Input: favor Answer: f a v o r
"
kingdom,k i n g d o m,"Input: kingdom Answer: k i n g d o m
"
rescue,r e s c u e,"Input: rescue Answer: r e s c u e
"
farm,f a r m,"Input: farm Answer: f a r m
"
crash,c r a s h,"Input: crash Answer: c r a s h
"
battleship,b a t t l e s h i p,"Input: battleship Answer: b a t t l e s h i p
"
habitat,h a b i t a t,"Input: habitat Answer: h a b i t a t
"
hop,h o p,"Input: hop Answer: h o p
"
anyone,a n y o n e,"Input: anyone Answer: a n y o n e
"
judge,j u d g e,"Input: judge Answer: j u d g e
"
chairman,c h a i r m a n,"Input: chairman Answer: c h a i r m a n
"
outbreak,o u t b r e a k,"Input: outbreak Answer: o u t b r e a k
"
arrangement,a r r a n g e m e n t,"Input: arrangement Answer: a r r a n g e m e n t
"
sport,s p o r t,"Input: sport Answer: s p o r t
"
dog,d o g,"Input: dog Answer: d o g
"
step,s t e p,"Input: step Answer: s t e p
"
fruit,f r u i t,"Input: fruit Answer: f r u i t
"
grade,g r a d e,"Input: grade Answer: g r a d e
"
emergency,e m e r g e n c y,"Input: emergency Answer: e m e r g e n c y
"
limit,l i m i t,"Input: limit Answer: l i m i t
"
cancer,c a n c e r,"Input: cancer Answer: c a n c e r
"
shark,s h a r k,"Input: shark Answer: s h a r k
"
festival,f e s t i v a l,"Input: festival Answer: f e s t i v a l
"
siege,s i e g e,"Input: siege Answer: s i e g e
"
successor,s u c c e s s o r,"Input: successor Answer: s u c c e s s o r
"
narrative,n a r r a t i v e,"Input: narrative Answer: n a r r a t i v e
"
cycle,c y c l e,"Input: cycle Answer: c y c l e
"
hill,h i l l,"Input: hill Answer: h i l l
"
belt,b e l t,"Input: belt Answer: b e l t
"
journalist,j o u r n a l i s t,"Input: journalist Answer: j o u r n a l i s t
"
concern,c o n c e r n,"Input: concern Answer: c o n c e r n
"
object,o b j e c t,"Input: object Answer: o b j e c t
"
childhood,c h i l d h o o d,"Input: childhood Answer: c h i l d h o o d
"
conduct,c o n d u c t,"Input: conduct Answer: c o n d u c t
"
hunting,h u n t i n g,"Input: hunting Answer: h u n t i n g
"
ride,r i d e,"Input: ride Answer: r i d e
"
talk,t a l k,"Input: talk Answer: t a l k
"
chapter,c h a p t e r,"Input: chapter Answer: c h a p t e r
"
footage,f o o t a g e,"Input: footage Answer: f o o t a g e
"
exception,e x c e p t i o n,"Input: exception Answer: e x c e p t i o n
"
difference,d i f f e r e n c e,"Input: difference Answer: d i f f e r e n c e
"
arm,a r m,"Input: arm Answer: a r m
"
device,d e v i c e,"Input: device Answer: d e v i c e
"
animation,a n i m a t i o n,"Input: animation Answer: a n i m a t i o n
"
poet,p o e t,"Input: poet Answer: p o e t
"
brain,b r a i n,"Input: brain Answer: b r a i n
"
stock,s t o c k,"Input: stock Answer: s t o c k
"
chain,c h a i n,"Input: chain Answer: c h a i n
"
retreat,r e t r e a t,"Input: retreat Answer: r e t r e a t
"
poetry,p o e t r y,"Input: poetry Answer: p o e t r y
"
dialogue,d i a l o g u e,"Input: dialogue Answer: d i a l o g u e
"
colour,c o l o u r,"Input: colour Answer: c o l o u r
"
format,f o r m a t,"Input: format Answer: f o r m a t
"
universe,u n i v e r s e,"Input: universe Answer: u n i v e r s e
"
instance,i n s t a n c e,"Input: instance Answer: i n s t a n c e
"
shell,s h e l l,"Input: shell Answer: s h e l l
"
union,u n i o n,"Input: union Answer: u n i o n
"
convoy,c o n v o y,"Input: convoy Answer: c o n v o y
"
afternoon,a f t e r n o o n,"Input: afternoon Answer: a f t e r n o o n
"
belief,b e l i e f,"Input: belief Answer: b e l i e f
"
valley,v a l l e y,"Input: valley Answer: v a l l e y
"
driver,d r i v e r,"Input: driver Answer: d r i v e r
"
teeth,t e e t h,"Input: teeth Answer: t e e t h
"
diameter,d i a m e t e r,"Input: diameter Answer: d i a m e t e r
"
convention,c o n v e n t i o n,"Input: convention Answer: c o n v e n t i o n
"
junior,j u n i o r,"Input: junior Answer: j u n i o r
"
founder,f o u n d e r,"Input: founder Answer: f o u n d e r
"
hero,h e r o,"Input: hero Answer: h e r o
"
code,c o d e,"Input: code Answer: c o d e
"
crisis,c r i s i s,"Input: crisis Answer: c r i s i s
"
engineering,e n g i n e e r i n g,"Input: engineering Answer: e n g i n e e r i n g
"
designer,d e s i g n e r,"Input: designer Answer: d e s i g n e r
"
reform,r e f o r m,"Input: reform Answer: r e f o r m
"
fear,f e a r,"Input: fear Answer: f e a r
"
technique,t e c h n i q u e,"Input: technique Answer: t e c h n i q u e
"
weekend,w e e k e n d,"Input: weekend Answer: w e e k e n d
"
mix,m i x,"Input: mix Answer: m i x
"
tone,t o n e,"Input: tone Answer: t o n e
"
spending,s p e n d i n g,"Input: spending Answer: s p e n d i n g
"
finale,f i n a l e,"Input: finale Answer: f i n a l e
"
permission,p e r m i s s i o n,"Input: permission Answer: p e r m i s s i o n
"
advice,a d v i c e,"Input: advice Answer: a d v i c e
"
maintenance,m a i n t e n a n c e,"Input: maintenance Answer: m a i n t e n a n c e
"
weapon,w e a p o n,"Input: weapon Answer: w e a p o n
"
factor,f a c t o r,"Input: factor Answer: f a c t o r
"
vice,v i c e,"Input: vice Answer: v i c e
"
address,a d d r e s s,"Input: address Answer: a d d r e s s
"
verse,v e r s e,"Input: verse Answer: v e r s e
"
bus,b u s,"Input: bus Answer: b u s
"
window,w i n d o w,"Input: window Answer: w i n d o w
"
personality,p e r s o n a l i t y,"Input: personality Answer: p e r s o n a l i t y
"
squad,s q u a d,"Input: squad Answer: s q u a d
"
mainstream,m a i n s t r e a m,"Input: mainstream Answer: m a i n s t r e a m
"
chemical,c h e m i c a l,"Input: chemical Answer: c h e m i c a l
"
spirit,s p i r i t,"Input: spirit Answer: s p i r i t
"
vision,v i s i o n,"Input: vision Answer: v i s i o n
"
hockey,h o c k e y,"Input: hockey Answer: h o c k e y
"
channel,c h a n n e l,"Input: channel Answer: c h a n n e l
"
carbon,c a r b o n,"Input: carbon Answer: c a r b o n
"
drawing,d r a w i n g,"Input: drawing Answer: d r a w i n g
"
dynasty,d y n a s t y,"Input: dynasty Answer: d y n a s t y
"
approval,a p p r o v a l,"Input: approval Answer: a p p r o v a l
"
housing,h o u s i n g,"Input: housing Answer: h o u s i n g
"
card,c a r d,"Input: card Answer: c a r d
"
intention,i n t e n t i o n,"Input: intention Answer: i n t e n t i o n
"
creator,c r e a t o r,"Input: creator Answer: c r e a t o r
"
symbol,s y m b o l,"Input: symbol Answer: s y m b o l
"
listing,l i s t i n g,"Input: listing Answer: l i s t i n g
"
tribute,t r i b u t e,"Input: tribute Answer: t r i b u t e
"
collapse,c o l l a p s e,"Input: collapse Answer: c o l l a p s e
"
protagonist,p r o t a g o n i s t,"Input: protagonist Answer: p r o t a g o n i s t
"
link,l i n k,"Input: link Answer: l i n k
"
folk,f o l k,"Input: folk Answer: f o l k
"
tie,t i e,"Input: tie Answer: t i e
"
designation,d e s i g n a t i o n,"Input: designation Answer: d e s i g n a t i o n
"
radar,r a d a r,"Input: radar Answer: r a d a r
"
load,l o a d,"Input: load Answer: l o a d
"
appointment,a p p o i n t m e n t,"Input: appointment Answer: a p p o i n t m e n t
"
possession,p o s s e s s i o n,"Input: possession Answer: p o s s e s s i o n
"
surprise,s u r p r i s e,"Input: surprise Answer: s u r p r i s e
"
occupation,o c c u p a t i o n,"Input: occupation Answer: o c c u p a t i o n
"
suicide,s u i c i d e,"Input: suicide Answer: s u i c i d e
"
dispute,d i s p u t e,"Input: dispute Answer: d i s p u t e
"
survey,s u r v e y,"Input: survey Answer: s u r v e y
"
canal,c a n a l,"Input: canal Answer: c a n a l
"
benefit,b e n e f i t,"Input: benefit Answer: b e n e f i t
"
struggle,s t r u g g l e,"Input: struggle Answer: s t r u g g l e
"
fishing,f i s h i n g,"Input: fishing Answer: f i s h i n g
"
soil,s o i l,"Input: soil Answer: s o i l
"
balance,b a l a n c e,"Input: balance Answer: b a l a n c e
"
favour,f a v o u r,"Input: favour Answer: f a v o u r
"
schedule,s c h e d u l e,"Input: schedule Answer: s c h e d u l e
"
column,c o l u m n,"Input: column Answer: c o l u m n
"
teacher,t e a c h e r,"Input: teacher Answer: t e a c h e r
"
brand,b r a n d,"Input: brand Answer: b r a n d
"
evolution,e v o l u t i o n,"Input: evolution Answer: e v o l u t i o n
"
wedding,w e d d i n g,"Input: wedding Answer: w e d d i n g
"
cent,c e n t,"Input: cent Answer: c e n t
"
earth,e a r t h,"Input: earth Answer: e a r t h
"
alignment,a l i g n m e n t,"Input: alignment Answer: a l i g n m e n t
"
faith,f a i t h,"Input: faith Answer: f a i t h
"
concrete,c o n c r e t e,"Input: concrete Answer: c o n c r e t e
"
shear,s h e a r,"Input: shear Answer: s h e a r
"
map,m a p,"Input: map Answer: m a p
"
opponent,o p p o n e n t,"Input: opponent Answer: o p p o n e n t
"
foundation,f o u n d a t i o n,"Input: foundation Answer: f o u n d a t i o n
"
copy,c o p y,"Input: copy Answer: c o p y
"
citing,c i t i n g,"Input: citing Answer: c i t i n g
"
percentage,p e r c e n t a g e,"Input: percentage Answer: p e r c e n t a g e
"
argument,a r g u m e n t,"Input: argument Answer: a r g u m e n t
"
ammunition,a m m u n i t i o n,"Input: ammunition Answer: a m m u n i t i o n
"
arrest,a r r e s t,"Input: arrest Answer: a r r e s t
"
resolution,r e s o l u t i o n,"Input: resolution Answer: r e s o l u t i o n
"
railroad,r a i l r o a d,"Input: railroad Answer: r a i l r o a d
"
disaster,d i s a s t e r,"Input: disaster Answer: d i s a s t e r
"
attendance,a t t e n d a n c e,"Input: attendance Answer: a t t e n d a n c e
"
household,h o u s e h o l d,"Input: household Answer: h o u s e h o l d
"
restaurant,r e s t a u r a n t,"Input: restaurant Answer: r e s t a u r a n t
"
honour,h o n o u r,"Input: honour Answer: h o n o u r
"
junction,j u n c t i o n,"Input: junction Answer: j u n c t i o n
"
funeral,f u n e r a l,"Input: funeral Answer: f u n e r a l
"
affair,a f f a i r,"Input: affair Answer: a f f a i r
"
compilation,c o m p i l a t i o n,"Input: compilation Answer: c o m p i l a t i o n
"
exit,e x i t,"Input: exit Answer: e x i t
"
statue,s t a t u e,"Input: statue Answer: s t a t u e
"
explosion,e x p l o s i o n,"Input: explosion Answer: e x p l o s i o n
"
professor,p r o f e s s o r,"Input: professor Answer: p r o f e s s o r
"
mention,m e n t i o n,"Input: mention Answer: m e n t i o n
"
oxygen,o x y g e n,"Input: oxygen Answer: o x y g e n
"
collaboration,c o l l a b o r a t i o n,"Input: collaboration Answer: c o l l a b o r a t i o n
"
sector,s e c t o r,"Input: sector Answer: s e c t o r
"
tunnel,t u n n e l,"Input: tunnel Answer: t u n n e l
"
pain,p a i n,"Input: pain Answer: p a i n
"
entertainment,e n t e r t a i n m e n t,"Input: entertainment Answer: e n t e r t a i n m e n t
"
residence,r e s i d e n c e,"Input: residence Answer: r e s i d e n c e
"
preparation,p r e p a r a t i o n,"Input: preparation Answer: p r e p a r a t i o n
"
alliance,a l l i a n c e,"Input: alliance Answer: a l l i a n c e
"
orbit,o r b i t,"Input: orbit Answer: o r b i t
"
restoration,r e s t o r a t i o n,"Input: restoration Answer: r e s t o r a t i o n
"
touring,t o u r i n g,"Input: touring Answer: t o u r i n g
"
detail,d e t a i l,"Input: detail Answer: d e t a i l
"
coverage,c o v e r a g e,"Input: coverage Answer: c o v e r a g e
"
wear,w e a r,"Input: wear Answer: w e a r
"
partnership,p a r t n e r s h i p,"Input: partnership Answer: p a r t n e r s h i p
"
horror,h o r r o r,"Input: horror Answer: h o r r o r
"
grant,g r a n t,"Input: grant Answer: g r a n t
"
option,o p t i o n,"Input: option Answer: o p t i o n
"
racing,r a c i n g,"Input: racing Answer: r a c i n g
"
communication,c o m m u n i c a t i o n,"Input: communication Answer: c o m m u n i c a t i o n
"
neck,n e c k,"Input: neck Answer: n e c k
"
transition,t r a n s i t i o n,"Input: transition Answer: t r a n s i t i o n
"
engagement,e n g a g e m e n t,"Input: engagement Answer: e n g a g e m e n t
"
walk,w a l k,"Input: walk Answer: w a l k
"
repair,r e p a i r,"Input: repair Answer: r e p a i r
"
ownership,o w n e r s h i p,"Input: ownership Answer: o w n e r s h i p
"
perspective,p e r s p e c t i v e,"Input: perspective Answer: p e r s p e c t i v e
"
cargo,c a r g o,"Input: cargo Answer: c a r g o
"
bear,b e a r,"Input: bear Answer: b e a r
"
solution,s o l u t i o n,"Input: solution Answer: s o l u t i o n
"
patrol,p a t r o l,"Input: patrol Answer: p a t r o l
"
occasion,o c c a s i o n,"Input: occasion Answer: o c c a s i o n
"
militia,m i l i t i a,"Input: militia Answer: m i l i t i a
"
bowling,b o w l i n g,"Input: bowling Answer: b o w l i n g
"
crown,c r o w n,"Input: crown Answer: c r o w n
"
comparison,c o m p a r i s o n,"Input: comparison Answer: c o m p a r i s o n
"
flagship,f l a g s h i p,"Input: flagship Answer: f l a g s h i p
"
spend,s p e n d,"Input: spend Answer: s p e n d
"
jazz,j a z z,"Input: jazz Answer: j a z z
"
circuit,c i r c u i t,"Input: circuit Answer: c i r c u i t
"
bed,b e d,"Input: bed Answer: b e d
"
application,a p p l i c a t i o n,"Input: application Answer: a p p l i c a t i o n
"
pace,p a c e,"Input: pace Answer: p a c e
"
agency,a g e n c y,"Input: agency Answer: a g e n c y
"
satellite,s a t e l l i t e,"Input: satellite Answer: s a t e l l i t e
"
truth,t r u t h,"Input: truth Answer: t r u t h
"
palace,p a l a c e,"Input: palace Answer: p a l a c e
"
storage,s t o r a g e,"Input: storage Answer: s t o r a g e
"
frame,f r a m e,"Input: frame Answer: f r a m e
"
flank,f l a n k,"Input: flank Answer: f l a n k
"
exhibition,e x h i b i t i o n,"Input: exhibition Answer: e x h i b i t i o n
"
monument,m o n u m e n t,"Input: monument Answer: m o n u m e n t
"
predecessor,p r e d e c e s s o r,"Input: predecessor Answer: p r e d e c e s s o r
"
surgery,s u r g e r y,"Input: surgery Answer: s u r g e r y
"
poll,p o l l,"Input: poll Answer: p o l l
"
labor,l a b o r,"Input: labor Answer: l a b o r
"
philosophy,p h i l o s o p h y,"Input: philosophy Answer: p h i l o s o p h y
"
adventure,a d v e n t u r e,"Input: adventure Answer: a d v e n t u r e
"
apartment,a p a r t m e n t,"Input: apartment Answer: a p a r t m e n t
"
kick,k i c k,"Input: kick Answer: k i c k
"
dollar,d o l l a r,"Input: dollar Answer: d o l l a r
"
protest,p r o t e s t,"Input: protest Answer: p r o t e s t
"
layer,l a y e r,"Input: layer Answer: l a y e r
"
catch,c a t c h,"Input: catch Answer: c a t c h
"
gap,g a p,"Input: gap Answer: g a p
"
phone,p h o n e,"Input: phone Answer: p h o n e
"
context,c o n t e x t,"Input: context Answer: c o n t e x t
"
casting,c a s t i n g,"Input: casting Answer: c a s t i n g
"
protein,p r o t e i n,"Input: protein Answer: p r o t e i n
"
wicket,w i c k e t,"Input: wicket Answer: w i c k e t
"
reconnaissance,r e c o n n a i s s a n c e,"Input: reconnaissance Answer: r e c o n n a i s s a n c e
"
spin,s p i n,"Input: spin Answer: s p i n
"
legacy,l e g a c y,"Input: legacy Answer: l e g a c y
"
drum,d r u m,"Input: drum Answer: d r u m
"
typhoon,t y p h o o n,"Input: typhoon Answer: t y p h o o n
"
justice,j u s t i c e,"Input: justice Answer: j u s t i c e
"
illness,i l l n e s s,"Input: illness Answer: i l l n e s s
"
shipping,s h i p p i n g,"Input: shipping Answer: s h i p p i n g
"
merchant,m e r c h a n t,"Input: merchant Answer: m e r c h a n t
"
revenue,r e v e n u e,"Input: revenue Answer: r e v e n u e
"
bombing,b o m b i n g,"Input: bombing Answer: b o m b i n g
"
fund,f u n d,"Input: fund Answer: f u n d
"
console,c o n s o l e,"Input: console Answer: c o n s o l e
"
bow,b o w,"Input: bow Answer: b o w
"
definition,d e f i n i t i o n,"Input: definition Answer: d e f i n i t i o n
"
meat,m e a t,"Input: meat Answer: m e a t
"
artwork,a r t w o r k,"Input: artwork Answer: a r t w o r k
"
guitarist,g u i t a r i s t,"Input: guitarist Answer: g u i t a r i s t
"
extend,e x t e n d,"Input: extend Answer: e x t e n d
"
marketing,m a r k e t i n g,"Input: marketing Answer: m a r k e t i n g
"
dancing,d a n c i n g,"Input: dancing Answer: d a n c i n g
"
ruling,r u l i n g,"Input: ruling Answer: r u l i n g
"
factory,f a c t o r y,"Input: factory Answer: f a c t o r y
"
profile,p r o f i l e,"Input: profile Answer: p r o f i l e
"
print,p r i n t,"Input: print Answer: p r i n t
"
mining,m i n i n g,"Input: mining Answer: m i n i n g
"
pursue,p u r s u e,"Input: pursue Answer: p u r s u e
"
bonus,b o n u s,"Input: bonus Answer: b o n u s
"
theater,t h e a t e r,"Input: theater Answer: t h e a t e r
"
organisation,o r g a n i s a t i o n,"Input: organisation Answer: o r g a n i s a t i o n
"
clothing,c l o t h i n g,"Input: clothing Answer: c l o t h i n g
"
delivery,d e l i v e r y,"Input: delivery Answer: d e l i v e r y
"
armour,a r m o u r,"Input: armour Answer: a r m o u r
"
coin,c o i n,"Input: coin Answer: c o i n
"
pit,p i t,"Input: pit Answer: p i t
"
elevation,e l e v a t i o n,"Input: elevation Answer: e l e v a t i o n
"
strip,s t r i p,"Input: strip Answer: s t r i p
"
flood,f l o o d,"Input: flood Answer: f l o o d
"
dress,d r e s s,"Input: dress Answer: d r e s s
"
triple,t r i p l e,"Input: triple Answer: t r i p l e
"
punk,p u n k,"Input: punk Answer: p u n k
"
organ,o r g a n,"Input: organ Answer: o r g a n
"
architect,a r c h i t e c t,"Input: architect Answer: a r c h i t e c t
"
legislature,l e g i s l a t u r e,"Input: legislature Answer: l e g i s l a t u r e
"
musician,m u s i c i a n,"Input: musician Answer: m u s i c i a n
"
diet,d i e t,"Input: diet Answer: d i e t
"
conversion,c o n v e r s i o n,"Input: conversion Answer: c o n v e r s i o n
"
concentration,c o n c e n t r a t i o n,"Input: concentration Answer: c o n c e n t r a t i o n
"
aftermath,a f t e r m a t h,"Input: aftermath Answer: a f t e r m a t h
"
danger,d a n g e r,"Input: danger Answer: d a n g e r
"
wrestling,w r e s t l i n g,"Input: wrestling Answer: w r e s t l i n g
"
solar,s o l a r,"Input: solar Answer: s o l a r
"
expand,e x p a n d,"Input: expand Answer: e x p a n d
"
string,s t r i n g,"Input: string Answer: s t r i n g
"
meter,m e t e r,"Input: meter Answer: m e t e r
"
sub,s u b,"Input: sub Answer: s u b
"
removal,r e m o v a l,"Input: removal Answer: r e m o v a l
"
interpretation,i n t e r p r e t a t i o n,"Input: interpretation Answer: i n t e r p r e t a t i o n
"
venue,v e n u e,"Input: venue Answer: v e n u e
"
cult,c u l t,"Input: cult Answer: c u l t
"
encounter,e n c o u n t e r,"Input: encounter Answer: e n c o u n t e r
"
publishing,p u b l i s h i n g,"Input: publishing Answer: p u b l i s h i n g
"
remix,r e m i x,"Input: remix Answer: r e m i x
"
turret,t u r r e t,"Input: turret Answer: t u r r e t
"
quarterback,q u a r t e r b a c k,"Input: quarterback Answer: q u a r t e r b a c k
"
rebellion,r e b e l l i o n,"Input: rebellion Answer: r e b e l l i o n
"
panel,p a n e l,"Input: panel Answer: p a n e l
"
announcement,a n n o u n c e m e n t,"Input: announcement Answer: a n n o u n c e m e n t
"
soldier,s o l d i e r,"Input: soldier Answer: s o l d i e r
"
placing,p l a c i n g,"Input: placing Answer: p l a c i n g
"
discussion,d i s c u s s i o n,"Input: discussion Answer: d i s c u s s i o n
"
behaviour,b e h a v i o u r,"Input: behaviour Answer: b e h a v i o u r
"
loan,l o a n,"Input: loan Answer: l o a n
"
roll,r o l l,"Input: roll Answer: r o l l
"
aspect,a s p e c t,"Input: aspect Answer: a s p e c t
"
talent,t a l e n t,"Input: talent Answer: t a l e n t
"
landscape,l a n d s c a p e,"Input: landscape Answer: l a n d s c a p e
"
withdrawal,w i t h d r a w a l,"Input: withdrawal Answer: w i t h d r a w a l
"
angle,a n g l e,"Input: angle Answer: a n g l e
"
margin,m a r g i n,"Input: margin Answer: m a r g i n
"
circle,c i r c l e,"Input: circle Answer: c i r c l e
"
trouble,t r o u b l e,"Input: trouble Answer: t r o u b l e
"
exposure,e x p o s u r e,"Input: exposure Answer: e x p o s u r e
"
specimen,s p e c i m e n,"Input: specimen Answer: s p e c i m e n
"
density,d e n s i t y,"Input: density Answer: d e n s i t y
"
pool,p o o l,"Input: pool Answer: p o o l
"
constitution,c o n s t i t u t i o n,"Input: constitution Answer: c o n s t i t u t i o n
"
beam,b e a m,"Input: beam Answer: b e a m
"
shift,s h i f t,"Input: shift Answer: s h i f t
"
duo,d u o,"Input: duo Answer: d u o
"
membership,m e m b e r s h i p,"Input: membership Answer: m e m b e r s h i p
"
loop,l o o p,"Input: loop Answer: l o o p
"
plate,p l a t e,"Input: plate Answer: p l a t e
"
magic,m a g i c,"Input: magic Answer: m a g i c
"
expression,e x p r e s s i o n,"Input: expression Answer: e x p r e s s i o n
"
skull,s k u l l,"Input: skull Answer: s k u l l
"
emphasis,e m p h a s i s,"Input: emphasis Answer: e m p h a s i s
"
alcohol,a l c o h o l,"Input: alcohol Answer: a l c o h o l
"
exercise,e x e r c i s e,"Input: exercise Answer: e x e r c i s e
"
basin,b a s i n,"Input: basin Answer: b a s i n
"
assembly,a s s e m b l y,"Input: assembly Answer: a s s e m b l y
"
prize,p r i z e,"Input: prize Answer: p r i z e
"
sole,s o l e,"Input: sole Answer: s o l e
"
portrayal,p o r t r a y a l,"Input: portrayal Answer: p o r t r a y a l
"
bid,b i d,"Input: bid Answer: b i d
"
advertising,a d v e r t i s i n g,"Input: advertising Answer: a d v e r t i s i n g
"
regime,r e g i m e,"Input: regime Answer: r e g i m e
"
birthday,b i r t h d a y,"Input: birthday Answer: b i r t h d a y
"
delay,d e l a y,"Input: delay Answer: d e l a y
"
employment,e m p l o y m e n t,"Input: employment Answer: e m p l o y m e n t
"
jury,j u r y,"Input: jury Answer: j u r y
"
attitude,a t t i t u d e,"Input: attitude Answer: a t t i t u d e
"
hydrogen,h y d r o g e n,"Input: hydrogen Answer: h y d r o g e n
"
software,s o f t w a r e,"Input: software Answer: s o f t w a r e
"
drinking,d r i n k i n g,"Input: drinking Answer: d r i n k i n g
"
translation,t r a n s l a t i o n,"Input: translation Answer: t r a n s l a t i o n
"
cousin,c o u s i n,"Input: cousin Answer: c o u s i n
"
swimming,s w i m m i n g,"Input: swimming Answer: s w i m m i n g
"
commentary,c o m m e n t a r y,"Input: commentary Answer: c o m m e n t a r y
"
lawyer,l a w y e r,"Input: lawyer Answer: l a w y e r
"
imagery,i m a g e r y,"Input: imagery Answer: i m a g e r y
"
execution,e x e c u t i o n,"Input: execution Answer: e x e c u t i o n
"
thirteen,t h i r t e e n,"Input: thirteen Answer: t h i r t e e n
"
terrain,t e r r a i n,"Input: terrain Answer: t e r r a i n
"
electricity,e l e c t r i c i t y,"Input: electricity Answer: e l e c t r i c i t y
"
duration,d u r a t i o n,"Input: duration Answer: d u r a t i o n
"
tenure,t e n u r e,"Input: tenure Answer: t e n u r e
"
friendship,f r i e n d s h i p,"Input: friendship Answer: f r i e n d s h i p
"
dream,d r e a m,"Input: dream Answer: d r e a m
"
succession,s u c c e s s i o n,"Input: succession Answer: s u c c e s s i o n
"
bone,b o n e,"Input: bone Answer: b o n e
"
trading,t r a d i n g,"Input: trading Answer: t r a d i n g
"
rhythm,r h y t h m,"Input: rhythm Answer: r h y t h m
"
coup,c o u p,"Input: coup Answer: c o u p
"
shop,s h o p,"Input: shop Answer: s h o p
"
publisher,p u b l i s h e r,"Input: publisher Answer: p u b l i s h e r
"
component,c o m p o n e n t,"Input: component Answer: c o m p o n e n t
"
uncle,u n c l e,"Input: uncle Answer: u n c l e
"
parliament,p a r l i a m e n t,"Input: parliament Answer: p a r l i a m e n t
"
sun,s u n,"Input: sun Answer: s u n
"
precipitation,p r e c i p i t a t i o n,"Input: precipitation Answer: p r e c i p i t a t i o n
"
slavery,s l a v e r y,"Input: slavery Answer: s l a v e r y
"
tube,t u b e,"Input: tube Answer: t u b e
"
radiation,r a d i a t i o n,"Input: radiation Answer: r a d i a t i o n
"
virus,v i r u s,"Input: virus Answer: v i r u s
"
contribution,c o n t r i b u t i o n,"Input: contribution Answer: c o n t r i b u t i o n
"
earthquake,e a r t h q u a k e,"Input: earthquake Answer: e a r t h q u a k e
"
scholar,s c h o l a r,"Input: scholar Answer: s c h o l a r
"
songwriter,s o n g w r i t e r,"Input: songwriter Answer: s o n g w r i t e r
"
fill,f i l l,"Input: fill Answer: f i l l
"
debt,d e b t,"Input: debt Answer: d e b t
"
ticket,t i c k e t,"Input: ticket Answer: t i c k e t
"
frequency,f r e q u e n c y,"Input: frequency Answer: f r e q u e n c y
"
coat,c o a t,"Input: coat Answer: c o a t
"
destroyer,d e s t r o y e r,"Input: destroyer Answer: d e s t r o y e r
"
improvement,i m p r o v e m e n t,"Input: improvement Answer: i m p r o v e m e n t
"
doctor,d o c t o r,"Input: doctor Answer: d o c t o r
"
profit,p r o f i t,"Input: profit Answer: p r o f i t
"
trust,t r u s t,"Input: trust Answer: t r u s t
"
touch,t o u c h,"Input: touch Answer: t o u c h
"
ballad,b a l l a d,"Input: ballad Answer: b a l l a d
"
bay,b a y,"Input: bay Answer: b a y
"
investment,i n v e s t m e n t,"Input: investment Answer: i n v e s t m e n t
"
cannon,c a n n o n,"Input: cannon Answer: c a n n o n
"
trough,t r o u g h,"Input: trough Answer: t r o u g h
"
praising,p r a i s i n g,"Input: praising Answer: p r a i s i n g
"
photography,p h o t o g r a p h y,"Input: photography Answer: p h o t o g r a p h y
"
output,o u t p u t,"Input: output Answer: o u t p u t
"
regard,r e g a r d,"Input: regard Answer: r e g a r d
"
parody,p a r o d y,"Input: parody Answer: p a r o d y
"
phrase,p h r a s e,"Input: phrase Answer: p h r a s e
"
trail,t r a i l,"Input: trail Answer: t r a i l
"
ruler,r u l e r,"Input: ruler Answer: r u l e r
"
confidence,c o n f i d e n c e,"Input: confidence Answer: c o n f i d e n c e
"
shoulder,s h o u l d e r,"Input: shoulder Answer: s h o u l d e r
"
survival,s u r v i v a l,"Input: survival Answer: s u r v i v a l
"
signature,s i g n a t u r e,"Input: signature Answer: s i g n a t u r e
"
communist,c o m m u n i s t,"Input: communist Answer: c o m m u n i s t
"
uranium,u r a n i u m,"Input: uranium Answer: u r a n i u m
"
melody,m e l o d y,"Input: melody Answer: m e l o d y
"
copper,c o p p e r,"Input: copper Answer: c o p p e r
"
wish,w i s h,"Input: wish Answer: w i s h
"
minority,m i n o r i t y,"Input: minority Answer: m i n o r i t y
"
instrument,i n s t r u m e n t,"Input: instrument Answer: i n s t r u m e n t
"
revolt,r e v o l t,"Input: revolt Answer: r e v o l t
"
tip,t i p,"Input: tip Answer: t i p
"
escort,e s c o r t,"Input: escort Answer: e s c o r t
"
programming,p r o g r a m m i n g,"Input: programming Answer: p r o g r a m m i n g
"
conservation,c o n s e r v a t i o n,"Input: conservation Answer: c o n s e r v a t i o n
"
sky,s k y,"Input: sky Answer: s k y
"
climb,c l i m b,"Input: climb Answer: c l i m b
"
representation,r e p r e s e n t a t i o n,"Input: representation Answer: r e p r e s e n t a t i o n
"
magnitude,m a g n i t u d e,"Input: magnitude Answer: m a g n i t u d e
"
hole,h o l e,"Input: hole Answer: h o l e
"
prisoner,p r i s o n e r,"Input: prisoner Answer: p r i s o n e r
"
autumn,a u t u m n,"Input: autumn Answer: a u t u m n
"
